Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],[EC1 EU Name],EC2 ID,[EC2 JP Name],[EC2 EU Name],EC3 ID,[EC3 JP Name],[EC3 EU Name],EC4 ID,[EC4 JP Name],[EC4 EU Name],EC5 ID,[EC5 JP Name],[EC5 EU Name],EC6 ID,[EC6 JP Name],[EC6 EU Name],EC7 ID,[EC7 JP Name],[EC7 EU Name],EC8 ID,[EC8 JP Name],[EC8 EU Name]
0,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None
2,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None
3,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None
4,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None
5,a017a_ep.enp,58,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor
0,a020b_ep.enp,154,3,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a020b_ep.enp,149,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a020b_ep.enp,144,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a020b_ep.enp,139,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None
0,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,255,None,None,255,None,None,255,None,None,255,None,None
4,a035b_ep.enp,144,3,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a035b_ep.enp,144,3,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a035b_ep.enp,144,3,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,a035b_ep.enp,144,3,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None
8,a035b_ep.enp,139,3,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,a035b_ep.enp,144,3,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a035b_ep.enp,144,3,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None
11,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,a035b_ep.enp,139,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None
13,a035b_ep.enp,134,3,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,60,Soldier L31,Mereo L31,105,Red Guard,Red Praeses,255,None,None,255,None,None,255,None,None,255,None,None
