Entry ID,EU Message ID,[Entry DE Name Pos],[Entry DE Name Size],Entry DE Name,[Entry ES Name Pos],[Entry ES Name Size],Entry ES Name,[Entry FR Name Pos],[Entry FR Name Size],Entry FR Name,[Entry GB Name Pos],[Entry GB Name Size],Entry GB Name,Element ID,[Element Name],Pad 1,Order,Occasion Flags,[M],[B],[S],Effect ID,[Effect Name],Scope ID,[Scope Name],Category ID,[Category Name],Effect Speed,Effect SP,Pad 2,Pad 3,Effect Base,Type ID,[Type Name],State ID,[State Name],State Miss%,Pad 4,Pad 5,Pad 6,Ship Occ ID,[Ship Occ Name],Pad 7,Ship Eff ID,[Ship Eff Name],Ship Eff SP,Ship Eff Turns,Ship Eff Base,Unk,Pad 8,Pad 9,Pad 10,[DE Descr Pos],[DE Descr Size],DE Descr Str,[ES Descr Pos],[ES Descr Size],ES Descr Str,[FR Descr Pos],[FR Descr Size],FR Descr Str,[GB Descr Pos],[GB Descr Size],GB Descr Str,[Ship DE Descr Pos],[Ship DE Descr Size],Ship DE Descr Str,[Ship ES Descr Pos],[Ship ES Descr Size],Ship ES Descr Str,[Ship FR Descr Pos],[Ship FR Descr Size],Ship FR Descr Str,[Ship GB Descr Pos],[Ship GB Descr Size],Ship GB Descr Str
0,0x8034faa8,0x1cc3a,7,Increm,0x1c88d,7,Increm,0x1cafd,7,Increm,0x1c2f4,7,Increm,1,Red,0,120,0b0011,"",X,X,21,Incr Attack & Defense,1,Single PC,6,Magic,0,5,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,5,2,0,-1,0,0,0,0x11025,91,Erhöht Angriffskraft und Verteidigung des\\nZiels um 25%.                              5 SP,0x10d2f,93,Aumenta la potencia de ataque y la defensa\\ndel objetivo en un 25%.                     5 PE,0x10d3c,90,Augmente les puissances d'attaque et d\\ndéfense de la cible de 25%.                 5 ES ,0x1093f,92,Increases both Attack Power and Defense of\\ntarget by 25%.                             5 SP,0x1b603,86,Verbessert Angriff und Verteidigung\\nfür 2 Durchgänge um 25%.                   5 SP ,0x1b23a,91,Aumenta el poder de ataque de tu barco \\nel poder de defensa en un 25% por 2 turnos. 5 PE ,0x1b3e9,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 2 tours.        5 ES,0x1ad4b,85,Increases your ship's Attack power\\nand Defense power by 25% for 2 turns.      5 SP 
1,0x802c6380,0x1cc41,9,Incremus,0x1c894,9,Incremus,0x1cb04,9,Incremus,0x1c2fb,9,Incremus,1,Red,0,121,0b0011,"",X,X,21,Incr Attack & Defense,2,All PCs,6,Magic,0,20,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,105,Incr Attack + Defense,20,4,0,-1,0,0,0,0x11080,92,Erhöht Angriffskraft und Verteidigung der\\ngesamten Gruppe um 25%.                   20 SP ,0x10d8c,93,Aumenta la potencia de ataque y la defensa\\nde un grupo entero en un 25%.              20 PE,0x10d96,98,Augmente les puissances d'attaque et de défens\\npour tout le groupe de 25%.                20 ES ,0x1099b,97,Increases both Attack Power and Defense of the\\nentire party by 25%.                      20 SP ,0x1b659,86,Verbessert Angriff und Verteidigung\\nfür 4 Durchgänge um 25%.                  20 SP ,0x1b295,94,Aumenta el poder de ataque de tu barco y e\\npoder de defensa en un 25% por 4 turnos.   20 PE ,0x1b44b,98,Augmente les puissances d'attaque et de défense\\nde votre navire de 25% pour 4 tours.       20 ES,0x1ada0,85,Increases your ship's Attack power\\nand Defense power by 25% for 4 turns.     20 SP 
2,0x8034fab0,0x1cc4a,8,Sylenis,0x1c89d,8,Sylenis,0x1cb0d,8,Sylenis,0x1c304,8,Sylenis,2,Purple,0,20,0b0011,"",X,X,12,Silence,3,Single EC,6,Magic,0,1,0,0,0,1,Magical,5,Silence,30,0,0,0,0,Magic Cannon,0,116,Silence by 100%,4,1,0,-1,0,0,0,0x110dc,91,"Hält Ziel davon ab, Zauber zu aktivieren,\\nindem es zum Schweigen gebracht wird.      1 SP",0x10de9,90,"Evita que el objetivo conjure hechizos,\\nsilenciando éstos.                          1 PE",0x10df8,95,Empêche les cibles de jeter des sorts en le\\nréduisant au Silence.                       1 ES ,0x109fc,92,Prevents target from casting any spells by\\nSilencing them.                            1 SP,0x1b6af,94,Verhindert Zaubersprüche von Feindschiffen.\\nErfordert Spezialausrüstung.               4 SP ,0x1b2f3,99,Impide que navíos enemigos usen hechizos. Lanza\\nhechizos requiere un equipo especial.       4 PE ,0x1b4ad,98,Empêche les navires ennemis de jeter des sorts.\\nÉquipement spécial requis.                  4 ES,0x1adf5,92,Prevents enemy ships from casting spells.\\nSpecial equipment is needed to cast.       4 SP 
3,0x8034fab8,0x1cc52,7,Panika,0x1c8a5,7,Panika,0x1cb15,7,Panika,0x1c30c,7,Panika,2,Purple,0,130,0b0010,"",X,"",11,Confusion,3,Single EC,6,Magic,0,1,0,0,0,1,Magical,4,Confusion,30,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11137,94,"Bringt ein Ziel dazu, das nahe gelegene Ziel\\nanzugreifen.                               1 SP",0x10e43,90,"Crea confusión en uno de los objetivos,\\nllevándole a atacar al más próximo.         1 PE",0x10e57,85,Désoriente la cible qui s'en pren\\nau plus proche.                             1 ES ,0x10a58,92,Confuses one target into attacking nearest\\ntarget.                                    1 SP,0x1b70d,30,Kann nicht benutzt werden.   ,0x1b356,20,No puede usarse.   ,0x1b50f,25,Ne peut être utilisé.   ,0x1ae51,24,Cannot be used.        
4,0x8034fac0,0x1cc59,6,Driln,0x1c8ac,6,Driln,0x1cb1c,6,Driln,0x1c313,6,Driln,4,Yellow,0,140,0b0011,"",X,X,26,Decr All Attr,3,Single EC,6,Magic,0,1,0,0,0,1,Magical,8,Weak,30,0,0,0,0,Magic Cannon,0,106,Weak by 100%,4,1,0,-1,0,0,0,0x11195,94,Schwächt ein Feindziel. Senkt alle Attribute\\num 25%.                                    1 SP,0x10e9d,95,"Debilita a un objetivo enemigo, disminuyendo\\nsus poderes en un 25%.                      1 PE",0x10eac,96,Affaiblit une cible ennemie. Diminue tous le\\nattributs de 25%.                           1 ES ,0x10ab4,97,Weakens one enemy target. Lowers all attributes\\nby 25%.                                    1 SP,0x1b72b,95,Verringert Attribute des Feindschiffes für 1\\nDurchgang. Erfordert Spezialausrüstung.    4 SP ,0x1b36a,99,Reduce los atributos del navío enemigo 1 turno\\nRequiere un equipo especial.                4 PE  ,0x1b528,97,Réduit les attributs de l'ennemi pour 1 tour.\\nÉquipement requis pour lancer le sort.      4 ES ,0x1ae69,94,Lowers enemy ship's attributes for 1 turn.\\nSpecial equipment is needed to cast.       4 SP  
5,0x8034fac8,0x1cc5f,8,Drilnos,0x1c8b2,8,Drilnos,0x1cb22,8,Drilnos,0x1c319,8,Drilnos,4,Yellow,0,141,0b0011,"",X,X,26,Decr All Attr,4,All ECs,6,Magic,0,6,0,0,0,1,Magical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Weak by 100%,8,2,0,-1,0,0,0,0x111f3,90,Schwächt alle Feinde auf dem Bildschirm.\\nSenkt alle Attribute um 25%.               6 SP,0x10efc,91,Debilita a todos los enemigos que hay en\\npantalla y disminuye sus atributos un 25%.  6 PE,0x10f0c,96,Affaiblit tous les ennemis à l'écran. Diminu\\ntous les attributs de 25%.                  6 ES ,0x10b15,91,Weakens all enemies on screen. Lowers all\\nattributes by 25%.                         6 SP,0x1b78a,95,Verringert Attribute des Feindschiffes für 2\\nDurchgänge. Erfordert Spezialausrüstung.   8 SP ,0x1b3cd,99,Reduce los atributos del navío enemigo 2 turnos\\nRequiere un equipo especial.                8 PE ,0x1b589,97,Réduit les attributs de l'ennemi pour 2 tours.\\nÉquipement spécial requis pour ensorceller. 8 ES,0x1aec7,94,Lowers enemy ship's attributes for 2 turns.\\nSpecial equipment is needed to cast.       8 SP 
6,0x8034fad0,0x1cc67,6,Sacri,0x1c8ba,6,Sacri,0x1cb2a,6,Sacri,0x1c321,6,Sacri,0,Green,0,40,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,1,0,0,500,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP,1,-1,500,-1,0,0,0,0x1124d,91,Bringt 500 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. 1 SP,0x10f57,91,Repone 500 PS a los aliados y pued\\nusarse fuera de la batalla.                 1 PE      ,0x10f6c,95,Redonne 500 PV à l'un des alliés. Peut auss\\nêtre utilisé hors combat.                   1 ES ,0x10b70,94,Restores 500 HP to any one ally. Can also be\\nused outside of battle.                    1 SP,0x1b7e9,94,Repariert Schaden bis zu 5000 HP. Kann\\naußerhalb des Kampfes angewendet werden.   1 SP      ,0x1b430,92,Repara 5000 PS de deterioro\\nPuede usarse fuera de la batalla también.   1 PE              ,0x1b5ea,96,Répare 5000 PV de dégâts. Ce sort\\npeut aussi être lancé hors combat.          1 ES            ,0x1af25,96,"Repairs 5,000 HP worth of damage. Can be\\ncast outside of battle as well.            1 SP      "
7,0x8034fad8,0x1cc6d,7,Sacres,0x1c8c0,7,Sacres,0x1cb30,7,Sacres,0x1c327,7,Sacres,0,Green,0,41,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,2,0,0,1000,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP,2,-1,1000,-1,0,0,0,0x112a8,92,Bringt 1000 HP für einen Verbündeten. Kann\\nauch außerhalb des Kampfes benutzt werden. 2 SP,0x10fb2,92,Repone 1000 PS a los aliados y pued\\nusarse fuera de la batalla.                 2 PE      ,0x10fcb,96,Redonne 1000 PV à l'un des alliés. Peut auss\\nêtre utilisé hors bataille.                 2 ES ,0x10bce,96,"Restores 1,000 HP to any one ally. Can also be\\nused outside of battle.                    2 SP",0x1b847,94,Repariert Schaden bis zu 10000 HP. Kann\\naußerhalb des Kampfes angewendet werden.   2 SP     ,0x1b48c,93,Repara 10000 PS de deterioro.\\nPuede usarse fuera de la batalla también.   2 PE             ,0x1b64a,96,Répare 10000 PV de dégâts. Ce sort\\npeut aussi être lancé hors combat.          2 ES           ,0x1af85,96,"Repairs 10,000 HP worth of damage. Can be\\ncast outside of battle as well.            2 SP     "
8,0x8034fae0,0x1cc74,7,Sacrum,0x1c8c7,7,Sacrum,0x1cb37,7,Sacrum,0x1c32e,7,Sacrum,0,Green,0,42,0b0110,X,X,"",31,Recover HP,2,All PCs,6,Magic,0,4,0,0,500,1,Magical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x11304,93,Bringt 500 HP für die gesamte Gruppe. Kann\\nauch außerhalb des Kampfes benutzt werden. 4 SP ,0x1100e,87,Repone 500 PS al grupo y pued\\nusarse fuera de la batalla.                 4 PE       ,0x1102b,95,Redonne 500 PV à tout le groupe. Peut auss\\nêtre utilisé hors bataille.                 4 ES  ,0x10c2e,96,Restores 500 HP to entire party. Can also be\\nused outside of battle.                    4 SP  ,0x1b8a5,30,Kann nicht benutzt werden.   ,0x1b4e9,20,No puede usarse.   ,0x1b6aa,25,Ne peut être utilisé.   ,0x1afe5,24,Cannot be used.        
9,0x802c638c,0x1cc7b,9,Sacrulen,0x1c8ce,9,Sacrulen,0x1cb3e,9,Sacrulen,0x1c335,9,Sacrulen,0,Green,0,43,0b0111,X,X,X,31,Recover HP,1,Single PC,6,Magic,0,3,0,0,2000,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP,3,-1,2000,-1,0,0,0,0x11361,88,Bringt 2000 HP für einen Verbündeten.\\nAuch außerhalb des Kampfes anwendbar.      3 SP ,0x11065,92,Repone 2000 PS a los aliados y pued\\nusarse fuera de la batalla.                 3 PE      ,0x1108a,94,Redonne 2000 PV à l'un des alliés. Peut\\naussi être utilisé hors bataille.           3 ES    ,0x10c8e,98,"Restores 2,000 HP to entire party. Can also be\\nused outside of battle.                    3 SP  ",0x1b8c3,97,Repariert Schaden bis zu 20000 HP. Kann\\naußerhalb des Kampfes angewendet werden.   3 SP        ,0x1b4fd,88,Repara 20000 PS de deterioro.\\nPuede usarse fuera de la batalla también.   3 PE        ,0x1b6c3,91,Répare 20000 PV de dégâts. Ce sort\\npeut aussi être lancé hors combat.          3 ES      ,0x1affd,95,"Repairs 20,000 HP worth of damage. Can be\\ncast outside of battle as well.            3 SP    "
