Entry ID,US entry name,Element ID,[Element name],O. by importance,Occ. flags,[Menu],[Battle],[Ship battle],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Padding #0,Padding #1,Effect value,Type ID,[Type name],State ID,[State name],State hit%,Padding #2,Padding #3,Padding #4,Ship occ. ID,[Ship occ. name],Padding #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unknown #0,Padding #6,Padding #7,Padding #8,[US descr. pos.],[US descr. size],US descr. str.
36,Cutlass Fury,6,Neutral,200,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,7,0,0,25,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913248,92,"Vyse unleashes his fury on a single enemy,\ncausing major damage."
37,Rain of Swords,6,Neutral,202,2,"",X,"",0,Damage,4,All enemies,0,Vyse,1,14,0,0,15,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913340,100,Vyse summons the power of lightning to rain down\nupon all the enemies on the screen.
38,Pirates' Wrath,6,Neutral,204,2,"",X,"",0,Damage,3,One enemy,0,Vyse,1,21,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913440,96,Vyse unleashes the wrath of the Air Pirates on\na single enemy for devastating damage.
39,Omega Psyclone,1,Red,214,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,12,0,0,165,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913536,92,Aika summons the powers of the Red Moon to\ndestroy all of the enemies on screen.
40,Alpha Storm,1,Red,210,2,"",X,"",0,Damage,39,Enemy line #4,1,Aika,1,4,0,0,60,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913628,96,"Aika spins her boomerang, summoning a vortex of\nflames to strike all enemies in a line."
41,Lambda Burst,1,Red,212,2,"",X,"",0,Damage,4,All enemies,1,Aika,1,8,0,0,100,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913724,92,"Aika causes the very ground around her to\nexplode, damaging all enemies on screen."
42,Lunar Glyph,5,Silver,221,2,"",X,"",8,Add Stone + Damage,3,One enemy,2,Fina,1,3,0,0,25,0,Physical,2,Stone,25,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913816,100,Fina uses the power of the Silver Moon to damage\nand possibly Stone a single enemy.
43,Lunar Winds,5,Silver,223,2,"",X,"",17,Remove positive states,4,All enemies,2,Fina,1,6,0,0,75,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2913916,96,Cupil summons a storm to damage and remove any\nbeneficial effects from all enemies.
44,Tackle,6,Neutral,230,2,"",X,"",0,Damage,3,One enemy,3,Drachma,1,10,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914012,100,Drachma concentrates all of his energy into his\nmetal arm and charges one enemy.
45,Hand of Fate,6,Neutral,232,2,"",X,"",6,Add Unconscious + Damage #1,3,One enemy,3,Drachma,1,25,0,0,90,0,Physical,1,Unconscious,50,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914112,96,"Drachma crushes one enemy with his mighty arm,\ncausing instant death to most."
46,Royal Blade,6,Neutral,240,2,"",X,"",0,Damage,37,Enemy line #2,4,Enrique,1,8,0,0,40,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914208,96,Enrique slashes at a single enemy in a flurry\nof precise sword attacks.
47,The Judgement,6,Neutral,242,2,"",X,"",0,Damage,3,One enemy,4,Enrique,1,16,0,0,80,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914304,96,Enrique summons one enemy to the Coliseum to\nbe judged for its crimes.
48,Gunslinger,6,Neutral,250,2,"",X,"",0,Damage,43,Enemy line #5,5,Gilder,1,9,0,0,30,0,Physical,0,Poison,0,0,0,0,0,Magic Cannon,0,0,Damage,0,0,0,0,0,0,0,2914400,96,Gilder lets loose two handguns at the same time\ndamaging all enemies in a straight line.
