Entry ID,US entry name,Element ID,[Element name],Order by prio.,Occ. flags,[M],[B],[S],Effect ID,[Effect name],Scope ID,[Scope name],Category ID,[Category name],Effect priority,Effect spirit,Pad. #0,Pad. #1,Effect value,Type ID,[Type name],State ID,[State name],State miss%,Pad. #2,Pad. #3,Pad. #4,Ship occ. ID,[Ship occ. name],Pad. #5,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount,Unk.,Pad. #6,Pad. #7,Pad. #8,[US descr. pos.],[US descr. size],US descr. str.,[US ship descr. pos.],[US ship descr. size],US ship descr. str.
0,Increm,1,Red,120,0x3,"",X,X,21,Add Strengthen,1,One character,6,Magic,0,5,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),5,2,0,-1,0,0,0,0x2c6668,92,Increases both Attack Power and Defense of\ntarget by 25%.                               ,0x2d05c4,84,Increases your ship's Attack power\nand Defense power by 25% for 2 turns.        
1,Incremus,1,Red,121,0x3,"",X,X,21,Add Strengthen,2,All characters,6,Magic,0,20,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,105,Add Strengthen (Ship),20,4,0,-1,0,0,0,0x2c66c4,96,Increases both Attack Power and Defense of the\nentire party by 25%.                         ,0x2d0618,84,Increases your ship's Attack power\nand Defense power by 25% for 4 turns.        
2,Sylenis,2,Purple,20,0x3,"",X,X,12,Add Silence,3,One enemy,6,Magic,0,1,0,0,0,1,Magical,5,Silence,30,0,0,0,0,Magic Cannon,0,116,Add Silence (Ship),1,0,0,-1,0,0,0,0x2c6724,92,Prevents target from casting any spells by\nSilencing them.                              ,0x2d066c,92,Prevents enemy ships from casting spells.\nSpecial equipment is needed to cast.          
3,Panika,2,Purple,130,0x2,"",X,"",11,Add Confusion,3,One enemy,6,Magic,0,2,0,0,0,1,Magical,4,Confusion,30,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6780,92,Confuses one target into attacking nearest\ntarget.                                      ,0x2d06c8,20,Cannot be used. 
4,Driln,4,Yellow,140,0x3,"",X,X,26,Add Weak,3,One enemy,6,Magic,0,2,0,0,0,1,Magical,8,Weak,30,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),2,2,0,-1,0,0,0,0x2c67dc,96,Weakens one enemy target. Lowers all attributes\nby 25%.                                     ,0x2d06dc,96,Lowers enemy ship's attributes for 2 turns.\nSpecial equipment is needed to cast.            
5,Drilnos,4,Yellow,141,0x3,"",X,X,26,Add Weak,4,All enemies,6,Magic,0,6,0,0,0,1,Magical,8,Weak,60,0,0,0,0,Magic Cannon,0,106,Add Weak (Ship),6,4,0,-1,0,0,0,0x2c683c,92,Weakens all enemies on screen. Lowers all\nattributes by 25%.                            ,0x2d073c,96,Lowers enemy ship's attributes for 4 turns.\nSpecial equipment is needed to cast.            
6,Sacri,0,Green,40,0x7,X,X,X,31,Recover HP,1,One character,6,Magic,0,1,0,0,500,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP (Ship),1,-1,500,-1,0,0,0,0x2c6898,96,Restores 500 HP to any one ally. Can also be\nused outside of battle.                        ,0x2d079c,96,Repairs 5000 HP worth of damage. Can be cast\noutside of battle as well.                     
7,Sacres,0,Green,41,0x7,X,X,X,31,Recover HP,1,One character,6,Magic,0,2,0,0,1000,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP (Ship),2,-1,1000,-1,0,0,0,0x2c68f8,96,Restores 1000 HP to any one ally. Can also be\nused outside of battle.                       ,0x2d07fc,96,Repairs 10000 HP worth of damage. Can be cast\noutside of battle as well.                    
8,Sacrum,0,Green,42,0x6,X,X,"",31,Recover HP,2,All characters,6,Magic,0,4,0,0,1000,1,Magical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6958,96,Restores 1000 HP to entire party. Can also be\nused outside of battle.                       ,0x0,0,""
9,Sacrulen,0,Green,43,0x7,X,X,X,31,Recover HP,1,One character,6,Magic,0,3,0,0,2000,1,Magical,-1,None,0,0,0,0,1,Always,0,100,Recover HP (Ship),3,-1,2000,-1,0,0,0,0x2c69b8,100,Restores 2000 HP to any one ally. Can also be\nused outside of battle.                           ,0x2d085c,96,Repairs 20000 HP worth of damage. Can be cast\noutside of battle as well.                    
10,Noxi,0,Green,50,0x2,"",X,"",4,Add Poison + Damage,3,One enemy,6,Magic,0,2,0,0,60,1,Magical,0,Poison,30,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6a1c,96,Damages and Poisons any one enemy. Best if used\nat the beginning of long battles.           ,0x0,0,""
11,Noxus,0,Green,51,0x2,"",X,"",4,Add Poison + Damage,4,All enemies,6,Magic,0,6,0,0,100,1,Magical,0,Poison,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6a7c,96,Damages and Poisons all enemies. Best if used\nat the beginning of long battles.             ,0x0,0,""
12,Slipara,3,Blue,110,0x2,"",X,"",9,Add Sleep,4,All enemies,6,Magic,0,6,0,0,0,1,Magical,3,Sleep,60,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6adc,96,Has a chance to put all enemies on screen to\nSleep.                                         ,0x0,0,""
13,Quika,3,Blue,70,0x3,"",X,X,20,Add Quickened,2,All characters,6,Magic,0,6,0,0,0,1,Magical,-1,None,0,0,0,0,1,Always,0,104,Add Quickened (Ship),6,1,0,-1,0,0,0,0x2c6b3c,96,"Doubles the speed of all allies. Also, it makes\nit easier to run from battles.              ",0x2d08bc,72,Doubles ship speed.\nEffect lasts for 2 rounds.                      
14,Curia,5,Silver,80,0x2,"",X,"",30,Remove negative states,1,One character,6,Magic,0,1,0,0,0,1,Magical,-1,None,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6b9c,96,Cures one ally of all adverse effects (except\nfor Unconscious).                             ,0x0,0,""
15,Risan,5,Silver,90,0x2,"",X,"",27,Revive with 50% of HP,1,One character,6,Magic,0,2,0,0,0,1,Magical,7,Revival,-1,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6bfc,100,"Has a 100% chance of reviving an Unconscious\nally, along with 50% of their HP.                  ",0x0,0,""
16,Riselem,5,Silver,91,0x2,"",X,"",28,Revive with 100% of HP,1,One character,6,Magic,0,3,0,0,0,1,Magical,7,Revival,0,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6c60,96,Revives an Unconscious ally and restores their\nHP to full.                                  ,0x0,0,""
17,Eterni,5,Silver,100,0x2,"",X,"",68,Add Unconscious + Damage #2,3,One enemy,6,Magic,0,2,0,0,90,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6cc0,96,Can instantly kill any one enemy. May not work\non some powerful monsters or bosses.         ,0x0,0,""
18,Eternes,5,Silver,101,0x2,"",X,"",68,Add Unconscious + Damage #2,4,All enemies,6,Magic,0,10,0,0,140,1,Magical,1,Unconscious,90,0,0,0,-1,Never,0,-1,None,-1,-1,0,-1,0,0,0,0x2c6d20,96,Can cause instant death to all enemies on the\nscreen.                                       ,0x0,0,""
