Entry ID,[Entry name],[Finalized],Occasion Flags,[M],[B],[S],Ship Eff ID,[Ship Eff Name],Ship Eff Turns,Consume%,[Base],[Multiplier],Buy,Sell%,Ship Eff Base,Element ID,[Element Name],Unk 1,Unk 2,Hit%
480,Bomb,True,0b0001,,,X,107,Damage,-1,100,1200,1,1200,25,150,6,Neutral,0,0,0
481,Big Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,3,3600,25,300,6,Neutral,0,0,0
482,Concussion Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,7,8400,25,450,6,Neutral,0,0,0
483,Shredder Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,15,18000,25,600,6,Neutral,0,0,0
484,Pyro Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,5,6000,25,350,1,Red,1,0,0
485,Frost Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,5,6000,25,350,2,Purple,1,0,0
486,Silencer Bomb,False,0b0001,,,X,116,Silence by 100%,1,100,1200,5,6000,25,0,2,Purple,0,165,60
487,Thunder Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,5,6000,25,350,4,Yellow,1,0,0
488,Electro Bomb,False,0b0001,,,X,106,Weak by 100%,2,100,1200,5,6000,25,0,4,Yellow,0,1,60
489,Wave Bomb,False,0b0001,,,X,107,Damage,-1,100,1200,5,6000,25,350,3,Blue,1,0,0
490,Repair Kit,True,0b0101,X,,X,100,Recover HP,-1,100,500,1,500,25,400,0,Green,0,0,0
491,Deluxe Kit,True,0b0101,X,,X,100,Recover HP,-1,100,500,3,1500,25,800,0,Green,0,0,0
492,Magic Kit,False,0b0101,X,,X,101,Recover HP by 100%,-1,100,500,15,7500,25,0,0,Green,0,0,0
493,Complete Kit,False,0b0101,X,,X,100,Recover HP,-1,100,500,7,3500,25,1600,0,Green,0,0,0
494,Gear Grease,True,0b0001,,,X,102,Recover SP,-1,100,500,1,500,100,10,6,Neutral,0,0,0
495,Thermal Grease,False,0b0001,,,X,103,Recover SP by 100%,-1,100,1000,1,1000,100,0,6,Neutral,0,0,0
496,Captain's Stripe,True,0b0100,X,,,115,Grow All Attr,-1,100,50000,1,50000,0,0,6,Neutral,0,0,0
497,Apa Wax,True,0b0001,,,X,105,Incr Attack + Defense,2,100,500,7,3500,25,0,1,Red,0,0,0
498,Apo Wax,False,0b0001,,,X,105,Incr Attack + Defense,4,100,500,15,7500,25,0,1,Red,0,0,0
499,Speed Wax,False,0b0001,,,X,104,Incr Quick,1,100,500,3,1500,25,0,3,Blue,0,0,0
500,Hybrid Wax,False,0b0001,,,X,108,Incr All Attr,1,100,500,5,2500,25,50,6,Neutral,0,0,0
501,Heat Sensor,False,0b0001,,,X,112,Incr Critical%,1,100,1000,1,1000,100,0,6,Neutral,0,0,0
502,Rudder Grease,False,0b0001,,,X,113,Consume SP by 50%,0,100,1000,1,1000,100,0,6,Neutral,0,0,0
503,Machine Oil,False,0b0001,,,X,114,Recover SP by 200%,0,100,1000,1,1000,100,0,6,Neutral,0,0,0
504,Light Alloy,True,0b0001,,,X,111,Incr First Strike%,1,100,1000,1,1000,100,0,6,Neutral,0,0,0
505,Hex Shell,False,0b0001,,,X,109,Block Attack,1,100,1000,1,1000,100,0,6,Neutral,0,0,0
506,Magic Shell,False,0b0001,,,X,110,Block Magic,1,100,1000,1,1000,100,0,6,Neutral,0,0,0
507,Gold Bullion,False,0b0000,,,,-1,None,-1,-1,10000,1,10000,100,0,6,Neutral,0,0,0
508,Crystal Ball,False,0b0000,,,,-1,None,-1,-1,1000,1,1000,100,0,6,Neutral,0,0,0
509,Magic Cannon,True,0b0000,,,,-1,None,-1,-1,0,0,0,0,0,6,Neutral,0,0,0
