Entry ID,[Location],[Finalized],Item ID,[Item Name],Item Amount
0,Pirate Isle Village,True,244,Magic Droplet,2
1,Pirate Isle Village,True,250,Risan Crystal,1
2,Pirate Isle Village,True,240,Sacri Crystal,2
3,Pirate Isle Underground,True,513,Gold,150
4,Pirate Isle Underground,True,258,Moonberry,1
5,Sailors' Island,True,514,Gold,200
6,Sailors' Island,True,490,Repair Kit,1
7,Lower City,True,90,Valuan Armor,1
8,Lower City,True,470,Intercom,1
9,Maramba,True,241,Sacres Crystal,3
10,Maramba,True,491,Deluxe Kit,1
11,Maramba,True,281,Slipara Box,1
12,Maramba,True,258,Moonberry,1
13,Maramba,True,515,Gold,300
14,Maramba,True,122,Nasr Combat Mail,1
15,Maramba,True,55,Excavation Arm,1
16,Horteka,Undefined,258,Moonberry,1
17,Horteka,Undefined,275,Sacri Box,1
18,Horteka,Undefined,260,Paranta Seed,1
19,Horteka,Undefined,244,Magic Droplet,25
20,Nasrad,False,264,Sylph Seed,1
21,Deserted Island,False,258,Moonberry,1
22,Deserted Island,False,520,Gold,1827
23,Nasrad,False,258,Moonberry,1
24,Esparanza,False,258,Moonberry,1
25,Esparanza,False,87,Valuan Uniform,3
26,Esparanza,False,522,Gold,2248
27,Yafutoma,False,258,Moonberry,1
28,Yafutoma,False,524,Gold,3000
29,Great Silver Shrine,False,131,Silver Armor,1
30,Great Silver Shrine,False,258,Moonberry,1
31,Great Silver Shrine,False,258,Moonberry,1
32,Great Silver Shrine,False,131,Silver Armor,1
33,Delphinus,False,258,Moonberry,1
34,Valuan Battle Ship,True,244,Magic Droplet,1
35,Valuan Battle Ship,True,240,Sacri Crystal,1
36,Valuan Battle Ship,True,512,Gold,50
37,Valuan Battle Ship,True,244,Magic Droplet,2
38,Shrine Island,True,244,Magic Droplet,1
39,Shrine Island,True,258,Moonberry,1
40,Shrine Island,True,275,Sacri Box,1
41,Catacombs,True,267,Pyri Box,1
42,Catacombs,True,258,Moonberry,1
43,Catacombs,True,249,Curia Crystal,3
44,Catacombs,True,172,Crylhound's Claw,1
45,Temple of Pyrynn,True,516,Gold,527
46,Temple of Pyrynn,True,126,Ancient Robe,1
47,Temple of Pyrynn,True,249,Curia Crystal,3
48,Temple of Pyrynn,True,25,Dancing Arc,1
49,Temple of Pyrynn,True,517,Gold,774
50,Temple of Pyrynn,True,258,Moonberry,1
51,Temple of Pyrynn,True,244,Magic Droplet,5
52,Temple of Pyrynn,True,283,Rune of Ill Omen,1
53,Moonstone Mountain,Undefined,518,Gold,800
54,Moonstone Mountain,Undefined,127,De Loco Mail,1
55,Moonstone Mountain,Undefined,258,Moonberry,1
56,Moonstone Mountain,Undefined,262,Zaal Seed,1
57,Moonstone Mountain,Undefined,413,"8""Cannon",1
58,Moonstone Mountain,Undefined,54,De Loco Drill,1
59,Moonstone Mountain,Undefined,421,Guided Torpedo,1
60,Moonstone Mountain,Undefined,252,Glyph of Might,2
61,Moonstone Mountain,Undefined,254,Healing Salve,2
62,Moonstone Mountain,Undefined,253,Glyph of Speed,2
63,Rixis,Undefined,56,Ruin Arm,1
64,Rixis,Undefined,284,Golden Mask,1
65,Rixis,Undefined,134,Female Armor,1
66,Rixis,Undefined,258,Moonberry,1
67,Rixis,Undefined,244,Magic Droplet,6
68,Rixis,Undefined,519,Gold,1186
69,Rixis,Undefined,242,Sacrum Crystal,2
70,Rixis,Undefined,10,Stonecutter,1
71,Rixis,Undefined,261,Icyl Seed,1
72,Daccat's Island,False,243,Sacrulen Crystal,2
73,Daccat's Island,False,17,Skywing,1
74,Daccat's Island,False,521,Gold,2001
75,Daccat's Island,False,247,Soul Crystal,1
76,Daccat's Island,False,128,Daccat's Armor,1
77,Daccat's Island,False,244,Magic Droplet,4
78,Daccat's Island,False,124,Maiden's Armor,2
79,Daccat's Island,False,245,Magic Dew,1
80,Daccat's Island,False,258,Moonberry,1
81,Daccat's Island,False,258,Moonberry,1
82,Daccat's Island,False,250,Risan Crystal,2
83,Daccat's Island,False,274,Electrum Box,1
84,Daccat's Island,False,265,Vidal Seed,1
