Entry ID,[Entry Name],[Finalized],Rating,Regular Atk,S-Move Atk,Dodge%,Run%
0,Vyse the Ninny,True,85,0,0,0,0
1,Vyse the Coward,True,95,0,0,0,0
2,Vyse the Unimpressive,True,105,0,0,0,0
3,Vyse the Blue Rogue,True,115,0,0,0,0
4,Vyse the Competent,True,125,0,0,0,0
5,Vyse the Determined,True,135,0,0,0,0
6,Vyse the Respected,True,145,0,0,0,0
7,Vyse the Admirable,True,155,0,0,0,0
8,Vyse the Bold,True,165,0,0,0,0
9,Vyse the Valiant,True,175,0,0,0,0
10,Vyse the Daring,True,185,0,0,0,0
11,Vyse the Dashing,True,195,0,0,0,0
12,Vyse the Fearless,True,205,0,0,0,0
13,Vyse the Hero,True,215,0,0,0,0
14,"Vyse, King of Rogues",True,225,0,0,0,0
15,Vyse the Legend,True,250,0,0,0,0
16,Vyse the Bounty King,True,250,0,0,0,0
17,Exploration King Vyse,True,250,0,0,0,0
18,Sky Battle King Vyse,True,250,0,0,0,0
19,Vyse the Fisher King,True,250,0,0,0,0
20,Vyse the Battle Lord,True,250,0,0,0,0
21,Vyse the Extravagant,True,250,0,0,0,0
22,Vyse the Charismatic,True,250,0,0,0,0
23,Vyse the Fallen Pirate,True,0,0,0,0,0
