Entry ID,[Entry name],[Finalized],Category ID,[Category name],Effect ID,[Effect name],Scope ID,[Scope name],Effect value #0,Effect value #1,Element ID,[Element name],Type ID,[Type name],Unk. #0,Unk. #1,State ID,[State name],State miss%
0,Volcanic Blast,False,0,Super Move,0,Damage,2,All characters,16,20,1,Red,0,Physical,0,0,0,Poison,0
1,Cinder Storm,False,0,Super Move,8,Add Stone + Damage,1,One character,16,5,1,Red,0,Physical,16,17,2,Stone,70
2,Feather Slash,False,0,Super Move,0,Damage,102,Character line #2,16,30,0,Green,0,Physical,0,0,0,Poison,0
3,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
4,Laser,True,0,Super Move,0,Damage,1,One character,16,20,5,Silver,0,Physical,0,0,0,Poison,0
5,Thunder of Fury,True,0,Super Move,0,Damage,101,Character line #1,16,30,4,Yellow,0,Physical,0,0,0,Poison,0
6,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
7,Circle of Panic,False,0,Super Move,11,Add Confusion,1,One character,0,0,0,Green,0,Physical,16,17,4,Confusion,0
8,Ring of Sleep,False,0,Super Move,9,Add Sleep,1,One character,0,0,0,Green,0,Physical,16,17,3,Sleep,0
9,Target Search,True,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
10,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
11,Tackle,True,0,Super Move,0,Damage,102,Character line #2,16,40,4,Yellow,0,Physical,0,0,0,Poison,0
12,Death Strike,False,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,70
13,Charge,False,0,Super Move,-1,None,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
14,Poison Gas,False,0,Super Move,4,Add Poison + Damage,96,Character area #0,16,20,0,Green,0,Physical,16,17,0,Poison,50
15,Stone Breath,False,0,Super Move,8,Add Stone + Damage,1,One character,16,15,0,Green,0,Physical,16,17,2,Stone,60
16,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
17,Random Fire,False,0,Super Move,0,Damage,98,Character area #2,16,25,1,Red,0,Physical,0,0,0,Poison,0
18,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
19,Counter Stance,False,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
20,Gather Strength,True,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
21,Counter Stance,False,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
22,Burst,False,0,Super Move,0,Damage,97,Character area #1,16,40,1,Red,0,Physical,0,0,0,Poison,0
23,Terminal,False,0,Super Move,0,Damage,1,One character,16,55,4,Yellow,0,Physical,0,0,0,Poison,0
24,Devolver,True,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
25,Poisonous Bile,False,0,Super Move,4,Add Poison + Damage,2,All characters,16,20,0,Green,0,Physical,16,17,0,Poison,50
26,Death Blossom,False,0,Super Move,0,Damage,201,Characters nearby #1,16,20,3,Blue,0,Physical,0,0,0,Poison,0
27,Cannon Fire,False,0,Super Move,0,Damage,1,One character,16,50,1,Red,0,Physical,0,0,0,Poison,0
28,Call Allies,False,0,Super Move,43,Call enemy,0,None,27,0,0,Green,0,Physical,0,0,0,Poison,0
29,Call Allies,False,0,Super Move,43,Call enemy,0,None,31,0,0,Green,0,Physical,0,0,0,Poison,0
30,Wheel Blast,False,0,Super Move,0,Damage,97,Character area #1,16,35,4,Yellow,0,Physical,0,0,0,Poison,0
31,Laser Blast,False,0,Super Move,8,Add Stone + Damage,1,One character,16,5,6,Neutral,0,Physical,16,17,2,Stone,20
32,Crypt Laser,False,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60
33,Death Laser,False,0,Super Move,68,Add Unconscious + Damage #2,1,One character,16,5,5,Silver,0,Physical,16,17,1,Unconscious,60
34,Assess Damage,True,0,Super Move,38,Counter attack + Guard,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
35,欠番,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
36,Steelskin,False,0,Super Move,67,Invulnerable,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
37,Focus,True,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
38,Eternal Freeze,False,0,Super Move,0,Damage,2,All characters,16,12,2,Purple,0,Physical,0,0,0,Poison,0
39,Lightning Strike,False,0,Super Move,0,Damage,1,One character,16,20,4,Yellow,0,Physical,0,0,0,Poison,0
40,Terrible Bite,False,0,Super Move,72,Add Fatigue + Damage,1,One character,16,15,0,Green,0,Physical,16,17,6,Fatigue,20
41,Deep Sleep,False,0,Super Move,63,Add Regenerate + Add Sleep,5,User,400,65280,0,Green,0,Physical,0,0,0,Poison,0
42,Avalauncher,False,0,Super Move,0,Damage,102,Character line #2,16,35,2,Purple,0,Physical,0,0,0,Poison,0
43,Silver Eclipse,False,0,Super Move,0,Damage,2,All characters,16,25,5,Silver,0,Physical,0,0,0,Poison,0
44,Drain,False,0,Super Move,26,Add Weak,1,One character,0,0,0,Green,0,Physical,16,17,8,Weak,0
45,Turn Recovery,False,0,Super Move,33,Add Regenerate,5,User,0,0,0,Green,0,Physical,0,0,0,Poison,0
46,Destruction,False,0,Super Move,17,Remove positive states,2,All characters,16,10,5,Silver,0,Physical,0,0,0,Poison,0
47,Tremble,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
48,Silver Tundra,False,0,Super Move,0,Damage,1,One character,16,50,5,Silver,0,Physical,0,0,0,Poison,0
49,Call Allies,False,0,Super Move,43,Call enemy,0,None,54,0,0,Green,0,Physical,0,0,0,Poison,0
50,Call Allies,False,0,Super Move,43,Call enemy,0,None,85,0,0,Green,0,Physical,0,0,0,Poison,0
51,Explode,False,0,Super Move,0,Damage,2,All characters,16,20,1,Red,0,Physical,0,0,0,Poison,0
52,Stone Ooze,False,0,Super Move,7,Add Stone,1,One character,0,0,0,Green,0,Physical,16,17,2,Stone,40
53,Tundra Blast,False,0,Super Move,0,Damage,2,All characters,16,20,2,Purple,0,Physical,0,0,0,Poison,0
54,Death Waltz,False,0,Super Move,0,Damage,2,All characters,16,40,6,Neutral,0,Physical,0,0,0,Poison,0
55,Engage,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
56,Thunder Storm,False,0,Super Move,0,Damage,2,All characters,16,20,4,Yellow,0,Physical,0,0,0,Poison,0
57,Eerie Wail,True,0,Super Move,0,Damage,107,Character line #4,16,15,2,Purple,0,Physical,0,0,0,Poison,0
58,Assess Damage,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
59,Death Waltz,False,0,Super Move,0,Damage,2,All characters,16,40,6,Neutral,0,Physical,0,0,0,Poison,0
60,Vigoro's Charm,False,0,Super Move,70,Add Confusion + Damage,1,One character,16,5,1,Red,0,Physical,16,17,4,Confusion,0
61,Laser Blast,False,0,Super Move,8,Add Stone + Damage,1,One character,16,20,5,Silver,0,Physical,16,17,2,Stone,50
62,Call Allies,False,0,Super Move,43,Call enemy,0,None,12,0,0,Green,0,Physical,0,0,0,Poison,0
63,Digest,False,0,Super Move,-1,None,0,None,0,0,0,Green,0,Physical,0,0,0,Poison,0
64,Terrible Bite,False,0,Super Move,72,Add Fatigue + Damage,1,One character,16,15,2,Purple,0,Physical,16,17,6,Fatigue,20
65,Neglora,False,0,Super Move,17,Remove positive states,2,All characters,16,5,-1,None,-1,None,-1,-1,-1,None,-1
