Entry ID,[Entry name],[Finalized],Pos. ID,[Pos. name],Feat. ID,[Feat. name],Feat. value,Ship effect ID,[Ship effect name],Ship effect spirit,Ship effect turns,Ship effect amount
0,Lawrence,True,0,Helmsman,4,Quick,20,-1,None,-1,-1,0
1,Don,True,0,Helmsman,6,Dodge%,3,-1,None,-1,-1,0
2,Brabham,True,1,Engineer,2,Defense,20,-1,None,-1,-1,0
3,Hans,True,1,Engineer,3,MagDef,20,-1,None,-1,-1,0
4,Belle,True,2,Gunner,64,Secondary cannon attack,50,-1,None,-1,-1,0
5,Khazim,True,2,Gunner,48,Main cannon attack,25,-1,None,-1,-1,0
6,Tikatika,True,3,Lookout,81,Torpedo hit%,10,-1,None,-1,-1,0
7,Domingo,True,3,Lookout,-1,None,0,112,Improve Critical% (Ship),6,0,0
8,Osman,True,4,Merchant,-1,None,0,-1,None,-1,-1,0
9,Kalifa,True,4,Merchant,-1,None,0,-1,None,-1,-1,0
10,Izmael,True,5,Builder,96,Special attack,50,-1,None,-1,-1,0
11,Kirala,True,5,Builder,-1,None,0,101,Recover HP to 100% (Ship),10,0,0
12,Polly,True,6,Cook,-1,None,0,117,Recover MP (Ship),6,-1,10
13,Urala,True,6,Cook,-1,None,0,102,Recover Spirit (Ship),15,-1,55
14,Ryu-kan,True,7,Artisan,-1,None,0,105,Add Strengthen (Ship),4,2,0
15,Ilchymis,True,7,Artisan,-1,None,0,108,Improve parameters (Ship),6,1,50
16,Marco,True,8,Sailor,-1,None,0,114,Increase Spirit restoration to 200% (Ship),6,0,0
17,Robinson,True,8,Sailor,-1,None,0,113,Decrease Spirit consumption to 50% (Ship),6,0,0
18,Pow,True,9,Jester,-1,None,0,111,Improve First strike% (Ship),4,0,0
19,Merida,True,9,Jester,7,Value,10000,-1,None,-1,-1,0
20,Moegi,True,10,Delegate,-1,None,0,110,Block magic (Ship),2,0,0
21,Pinta,True,10,Delegate,-1,None,0,109,Block artillery (Ship),10,0,0
