Entry ID,[Location],[Finalized],Item ID,[Item name],Item amount
0,Pirate Isle Village,True,244,Magic Droplet,3
1,Pirate Isle Village,True,244,Magic Droplet,3
2,Pirate Isle Village,True,240,Sacri Crystal,2
3,Pirate Isle Underground,True,513,Gold,150
4,Pirate Isle Underground,True,258,Moonberry,1
5,Sailors‘ Island,True,514,Gold,200
6,Sailors‘ Island,True,490,Repair Kit,1
7,Lower City,True,240,Sacri Crystal,2
8,Lower City,True,258,Moonberry,1
9,Maramba,Undefined,244,Magic Droplet,4
10,Maramba,Undefined,281,Slipara Box,1
11,Maramba,Undefined,515,Gold,300
12,Maramba,Undefined,258,Moonberry,1
13,Maramba,Undefined,122,Nasr Combat Mail,1
14,Maramba,Undefined,184,Gem of Fluidity,1
15,Maramba,Undefined,55,Excavation Arm,1
16,Horteka,Undefined,258,Moonberry,1
17,Horteka,Undefined,275,Sacri Box,1
18,Horteka,Undefined,260,Paranta Seed,1
19,Horteka,Undefined,244,Magic Droplet,25
20,,False,264,Sylph Seed,1
21,,False,258,Moonberry,1
22,,False,520,Gold,1827
23,,False,258,Moonberry,1
24,,False,258,Moonberry,1
25,,False,87,Valuan Uniform,3
26,,False,522,Gold,2248
27,,False,258,Moonberry,1
28,,False,524,Gold,3000
29,,False,131,Silver Armor,1
30,,False,258,Moonberry,1
31,,False,258,Moonberry,1
32,,False,131,Silver Armor,1
33,,False,258,Moonberry,1
34,Valuan Battle Ship,True,244,Magic Droplet,1
35,Valuan Battle Ship,True,240,Sacri Crystal,2
36,Valuan Battle Ship,True,512,Gold,50
37,Valuan Battle Ship,True,244,Magic Droplet,2
38,Shrine Island,True,244,Magic Droplet,2
39,Shrine Island,True,258,Moonberry,1
40,Shrine Island,True,240,Sacri Crystal,2
41,Catacombs,True,267,Pyri Box,1
42,Catacombs,True,125,Heavy Armor,1
43,Catacombs,True,4,Assassin Blade,1
44,Catacombs,True,249,Curia Crystal,3
45,Temple of Pyrynn,False,516,Gold,527
46,Temple of Pyrynn,Undefined,126,Ancient Robe,1
47,Temple of Pyrynn,Undefined,241,Sacres Crystal,3
48,Temple of Pyrynn,Undefined,25,Dancing Arc,1
49,Temple of Pyrynn,Undefined,517,Gold,527
50,Temple of Pyrynn,Undefined,258,Moonberry,1
51,Temple of Pyrynn,Undefined,244,Magic Droplet,5
52,Temple of Pyrynn,Undefined,283,Rune of Ill Omen,1
53,Moonstone Mountain,Undefined,518,Gold,800
54,Moonstone Mountain,Undefined,127,De Loco Mail,1
55,Moonstone Mountain,Undefined,258,Moonberry,1
56,Moonstone Mountain,Undefined,262,Zaal Seed,1
57,Moonstone Mountain,Undefined,413,"8""Cannon",1
58,Moonstone Mountain,Undefined,54,De Loco Drill,1
59,Moonstone Mountain,Undefined,421,Guided Torpedo,1
60,Moonstone Mountain,Undefined,252,Glyph of Might,2
61,Moonstone Mountain,Undefined,254,Healing Salve,2
62,Moonstone Mountain,Undefined,253,Glyph of Speed,2
63,Rixis,Undefined,56,Ruin Arm,1
64,Rixis,Undefined,284,Golden Mask,1
65,Rixis,Undefined,134,Female Armor,1
66,Rixis,Undefined,258,Moonberry,1
67,Rixis,Undefined,244,Magic Droplet,6
68,Rixis,Undefined,519,Gold,1186
69,Rixis,Undefined,242,Sacrum Crystal,2
70,Rixis,Undefined,10,Stonecutter,1
71,Rixis,Undefined,261,Icyl Seed,1
72,,False,243,Sacrulen Crystal,2
73,,False,17,Skywing,1
74,,False,521,Gold,2001
75,,False,247,Soul Crystal,1
76,,False,128,Daccat's Armor,1
77,,False,244,Magic Droplet,4
78,,False,124,Maiden's Armor,2
79,,False,245,Magic Dew,1
80,,False,258,Moonberry,1
81,,False,258,Moonberry,1
82,,False,250,Risan Crystal,2
83,,False,274,Electrum Box,1
84,,False,265,Vidal Seed,1
85,,False,248,Unholy Dagger,1
86,,False,258,Moonberry,1
87,,False,256,Windsong Orb,1
88,,False,258,Moonberry,1
89,,False,11,Dream Cutlass,1
90,,False,266,Magus Seed,1
91,,False,129,Moss Armor,1
92,,False,258,Moonberry,1
93,,False,255,Chalice of Blood,1
94,,False,246,Aura of Valor,1
95,,False,523,Gold,2731
96,,False,258,Moonberry,1
97,,False,19,Ice Splitter,1
98,,False,257,Winter Orb,1
99,,False,62,Frostblade,1
100,,False,258,Moonberry,1
101,,False,258,Moonberry,1
102,,False,245,Magic Dew,2
103,,False,525,Gold,4000
104,,False,258,Moonberry,1
105,,False,242,Sacrum Crystal,2
106,,False,409,X Cannon,1
107,,False,60,Imperial Blade,1
108,,False,243,Sacrulen Crystal,3
109,,False,258,Moonberry,1
110,,False,293,Orb of Serenity,1
111,,False,258,Moonberry,1
112,,False,258,Moonberry,1
113,,False,263,Dexus Seed,1
114,,False,258,Moonberry,1
115,Catacombs,Undefined,240,Sacri Crystal,4
116,Catacombs,Undefined,244,Magic Droplet,4
117,,False,243,Sacrulen Crystal,4
118,,False,242,Sacrum Crystal,3
