Entry ID,[Filter],Initiative,Magic EXP,EC1 ID,[EC1 JP Name],[EC1 US Name],EC2 ID,[EC2 JP Name],[EC2 US Name],EC3 ID,[EC3 JP Name],[EC3 US Name],EC4 ID,[EC4 JP Name],[EC4 US Name],EC5 ID,[EC5 JP Name],[EC5 US Name],EC6 ID,[EC6 JP Name],[EC6 US Name],EC7 ID,[EC7 JP Name],[EC7 US Name],EC8 ID,[EC8 JP Name],[EC8 US Name]
0,a017a_ep.enp,102,2,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a017a_ep.enp,102,2,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a017a_ep.enp,102,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a017a_ep.enp,102,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None,255,None,None
4,a017a_ep.enp,102,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None,255,None,None
5,a017a_ep.enp,102,2,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,42,Grapor,Grapor,255,None,None,255,None,None
0,a020b_ep.enp,154,3,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a020b_ep.enp,149,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a020b_ep.enp,144,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a020b_ep.enp,139,3,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,71,Tenkou,Tenkou,255,None,None,255,None,None,255,None,None,255,None,None
0,a035b_ep.enp,134,3,60,Soldier,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a035b_ep.enp,134,3,60,Soldier,Soldier,60,Soldier,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
2,a035b_ep.enp,134,3,60,Soldier,Soldier,60,Soldier,Soldier,60,Soldier,Soldier,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
3,a035b_ep.enp,134,3,60,Soldier,Soldier,60,Soldier,Soldier,60,Soldier,Soldier,60,Soldier,Soldier,255,None,None,255,None,None,255,None,None,255,None,None
4,a035b_ep.enp,144,3,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a035b_ep.enp,144,3,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a035b_ep.enp,144,3,105,Red Guard,Red Guard,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,a035b_ep.enp,144,3,105,Red Guard,Red Guard,105,Red Guard,Red Guard,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None
8,a035b_ep.enp,139,3,60,Soldier,Soldier,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,a035b_ep.enp,144,3,60,Soldier,Soldier,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a035b_ep.enp,144,3,60,Soldier,Soldier,105,Red Guard,Red Guard,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None
11,a035b_ep.enp,134,3,60,Soldier,Soldier,60,Soldier,Soldier,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,a035b_ep.enp,139,3,60,Soldier,Soldier,60,Soldier,Soldier,105,Red Guard,Red Guard,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None
13,a035b_ep.enp,134,3,60,Soldier,Soldier,60,Soldier,Soldier,60,Soldier,Soldier,105,Red Guard,Red Guard,255,None,None,255,None,None,255,None,None,255,None,None
0,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
1,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
2,a099a_01ep.enp,22,1,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None
3,a099a_01ep.enp,52,1,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
4,a099a_01ep.enp,52,1,29,Looper,Looper,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
5,a099a_01ep.enp,27,1,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
6,a099a_01ep.enp,12,1,3,Marocca,Marocca,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
7,a099a_01ep.enp,27,1,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
8,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
9,a099a_01ep.enp,27,1,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
10,a099a_01ep.enp,27,1,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
11,a099a_01ep.enp,22,1,3,Marocca,Marocca,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
12,a099a_01ep.enp,22,1,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
13,a099a_01ep.enp,32,1,3,Marocca,Marocca,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
14,a099a_01ep.enp,32,1,3,Marocca,Marocca,3,Marocca,Marocca,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None
15,a099a_01ep.enp,27,1,3,Marocca,Marocca,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
16,a099a_01ep.enp,27,1,3,Marocca,Marocca,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
17,a099a_01ep.enp,22,1,4,Grouder,Grouder,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
18,a099a_01ep.enp,12,1,4,Grouder,Grouder,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
19,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
20,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
21,a099a_01ep.enp,22,1,4,Grouder,Grouder,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
22,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,3,Marocca,Marocca,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
23,a099a_01ep.enp,27,1,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
24,a099a_01ep.enp,22,1,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
25,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
26,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None,255,None,None
27,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,29,Looper,Looper,255,None,None,255,None,None,255,None,None,255,None,None,255,None,None
28,a099a_01ep.enp,12,1,4,Grouder,Grouder,3,Marocca,Marocca,3,Marocca,Marocca,29,Looper,Looper,29,Looper,Looper,255,None,None,255,None,None,255,None,None
29,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,29,Looper,Looper,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
30,a099a_01ep.enp,12,1,4,Grouder,Grouder,4,Grouder,Grouder,3,Marocca,Marocca,15,Ghastling,Ghastling,15,Ghastling,Ghastling,255,None,None,255,None,None,255,None,None
